E159;KINYA LETTER DH
E15A;KINYA LETTER P
E15B;KINYA LETTER B
E15C;KINYA LETTER F
E15D;KINYA LETTER V
E15E;KINYA LETTER R
E15F;KINYA LETTER Y
E160;KINYA LETTER N
E161;KINYA LETTER L
E162;KINYA LETTER M
E163;KINYA LETTER W
E164;KINYA LETTER VOWEL CARRIER
E165;KINYA LETTER A
E166;KINYA LETTER O
E167;KINYA LETTER IE
E168;KINYA LETTER U
E169;KINYA LETTER E
E16A;KINYA LETTER OE
E16B;KINYA LETTER I
E16C;KINYA LETTER UE
E16D;KINYA SPACE
E16E;KINYA ALTERNATE SPACE
E16F;(This position shall not be used)
E170;KINYA LETTER TOLLE K
E171;KINYA LETTER TOLLE G
E172;KINYA LETTER TOLLE H
E173;KINYA LETTER TOLLE X
E174;KINYA LETTER TOLLE S
E175;KINYA LETTER TOLLE Z
E176;KINYA LETTER TOLLE T
E177;KINYA LETTER TOLLE D
E178;KINYA LETTER TOLLE TH
E179;KINYA LETTER TOLLE DH
E17A;KINYA LETTER TOLLE P
E17B;KINYA LETTER TOLLE B
E17C;KINYA LETTER TOLLE F
E17D;KINYA LETTER TOLLE V
E17E;KINYA LETTER TOLLE R
E17F;KINYA LETTER TOLLE Y
E180;KINYA LETTER TOLLE N
E181;KINYA LETTER TOLLE L
E182;KINYA LETTER TOLLE M
E183;KINYA LETTER TOLLE W
E184;KINYA LETTER TOLLE VOWEL CARRIER
E185;KINYA LETTER TOLLE A
E186;KINYA LETTER TOLLE O
E187;KINYA LETTER TOLLE IE
E188;KINYA LETTER TOLLE U
E189;KINYA LETTER TOLLE E
E18A;KINYA LETTER TOLLE OE
E18B;KINYA LETTER TOLLE I
E18C;KINYA LETTER TOLLE UE
E18D;KINYA SEMICOLON
E18E;KINYA FULL STOP
E18F;(This position shall not be used)
E190;KINYA LETTER SOTHNE K G
E191;KINYA LETTER SOTHNE H X
E192;KINYA LETTER SOTHNE S Z
E193;KINYA LETTER SOTHNE T D
E194;KINYA LETTER SOTHNE TH DH
E195;KINYA LETTER SOTHNE P B
E196;KINYA LETTER SOTHNE F V
E197;KINYA LETTER SOTHNE R
E198;KINYA LETTER SOTHNE Y
E199;KINYA LETTER SOTHNE N
E19A;KINYA LETTER SOTHNE L
E19B;KINYA LETTER SOTHNE M
E19C;KINYA LETTER SOTHNE W
E19D;(This position shall not be used)
E19E;(This position shall not be used)
E19F;(This position shall not be used)
E1A0;KINYA DIGIT ZERO
E1A1;KINYA DIGIT ONE
E1A2;KINYA DIGIT TWO
E1A3;KINYA DIGIT THREE
E1A4;KINYA DIGIT FOUR
E1A5;KINYA DIGIT FIVE
E1A6;KINYA DIGIT SIX
E1A7;KINYA DIGIT SEVEN
E1A8;KINYA DIGIT EIGHT
E1A9;KINYA DIGIT NINE
E1AA;(This position shall not be used)
E1AB;(This position shall not be used)
